# folio	r/v	url
01	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=3
01	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=4
02	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=5
02	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=6
03	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=7
03	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=8
04	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=9
04	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=10
05	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=11
05	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=12
06	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=13
06	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=14
07	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=15
07	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=16
08	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=17
08	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=18
09	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=19
09	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=20
10	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=21
10	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=22
11	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=23
11	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=24
12	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=25
12	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=26
13	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=27
13	v	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=28
14	r	https://www.loc.gov/resource/gdcwdl.wdl_10616/?sp=29
