# token			subtokens		ids
ynteiacancauh		yn|teiacancauh		Book_01_-_The_Gods.txt:19		
yntlachpancauh 		yn|tlachpancauh		Book_01_-_The_Gods.txt:19
mjcue			m|jcue			Book_08_-_Kings_and_Lords.txt:274
intzonchichilicpatl	in|tzonchichilicpatl	Book_08_-_Kings_and_Lords.txt:208
#intlacamo	intla|ca|mo	Book_05_-_The_Omens.txt:37
qujtoznequj	qujtoz|nequj	Book_05_-_The_Omens.txt:24 Book_05_-_The_Omens.txt:63
iaznequj	iaz|nequj	Book_05_-_The_Omens.txt:52
tlaqujioculi	tla|qujioculi	Book_05_-_The_Omens.txt:63
tlamotelchioa	tla|motelchioa	Book_05_-_The_Omens.txt:63
oimpan		o|impan		Book_05_-_The_Omens.txt:21
ineco		in|eco		Book_05_-_The_Omens.txt:72
inteancauh	in|teancauh	Book_05_-_The_Omens.txt:47
intenotzacauh	in|tenotzacauh	Book_05_-_The_Omens.txt:47
cacentetl	ca|centetl	Book_05_-_The_Omens.txt:99
