inj xqujch	in·jxqujch
inj xquich	in·jxquich
ini xquich	in·ixquich
I nic	Inic
I tzcoatzin	Itzcoatzin
tlato caiotl	tlatocaiotl
otlato catque	otlatocatque
tla¶ toani	tlatoani
tla¶ to catl	tlatocatl
y nipan¶	yn·ipan
quenin¶quipiaia	quenin·quipiaia
A uh	Auh
A uh¶	Auh
tenoch¶ titlan	tenochtitlan
tenochti¶ tlan	tenochtitlan
te¶ nochtitlan	tenochtitlan
xuch¶milca	xuchmilca
qujn¶peuh	qujnpeuh
Chimal popoca	Chimalpopoca
tlato cat	tlatocat
I njc	Inic
tla¶ toanj	tlatoanj
T icocicatzin	Ticocicatzin
chi come	chicome
tlato¶anj	tlatoanj
Me¶ xico	Mexico
coz¶ tic	coztic
xo¶ xouh qui	xoxouhqui
tilma¶ tli	tilmatli
chicoapal nacaz minqui	chicoapalnacazminqui
cue¶ tlastilmatli	cuetlastilmatli
ini quac	in·iquac
quin¶ icoac	quinicoac
qui cui	quicui
to¶ maiauh campa	tomaiauhcampa
A¶ uh	Auh
tlachiquacen caiotia	tlachiquacencaiotia
nacaz¶ tli	nacaztli
quin¶ peuh	quinpeuh
quj iauchiuh	qujiauchiuh
quauh naoac	quauhnaoac
moquauh naoa caitoa	moquauhnaoacaitoa
maca¶ oacan	macaoacan
Nece to chuiloc	Necetochuiloc
qui peuh¶	quipeuh
ini xquich¶	in·ixquich
A xaiaca	Axaiaca
moiao chiuhque	moiaochiuhque
io an	ioan
te¶ nochca	tenochca
po¶ liuh	poliuh
ao¶ cac	aocac
inj coac¶	in·jcoac
tlati¶ lulco	tlatilulco
mo quiuixtli	moquiuixtli
tlato¶ anj	tlatoanj
A ujtzotl	Aujtzotl
motla¶ po	motlapo
injn toca	in·jntoca
in tech¶ patlatoa	intechpa·tlatoa
xuch¶ milca	xuchmilca
qujn¶ peuh	qujnpeuh
on naui	onnaui
vmpo¶ alxiujtl	vmpoalxiujtl
chiquacen xiujtl	chiquacenxiujtl
caxtol xiujtl	caxtolxiujtl
nauh xiuitl	nauhxiuitl
matlac xihuitl	matlacxihuitl
ma tlacxiuitl	matlacxiuitl
exi¶ uitl	exiuitl
cempoalxi¶ ujtl	cempoalxiujtl
ie¶ hoatl	iehoatl
quj peuh	qujpeuh
tlacote¶ pec	tlacotepec
tzina cantepec	tzinacantepec
teo¶ xaoalco	teoxaoalco
o cujllan	ocujllan
te qualoia	tequaloia
coz caquauh¶ tenanco	cozcaquauhtenanco
xoch¶ caatl	xochcaatl
matlactlo mome	matlactlomome
A ca mapichtli	Acamapichtli
muchi uh	muchiuh
Quauh tlatoa	Quauhtlatoa
cax¶ tolli	caxtolli
cat¶ ca	catca
itz coatl	itzcoatl
muchi¶ uh	muchiuh
azca¶ putzalcatl	azcaputzalcatl
injxqujch	in·jxqujch
quauh naoacatl	quauhnaoacatl
M oqujujxtli	Moqujujxtli
cempo¶ alxiuitl	cempoalxiuitl
compeoal¶ ti	compeoalti
io coxca	iocoxca
mo¶ teneoa	moteneoa
inqujte¶ tzammatia	in·qujtetzammatia
inte¶ tzaujtl	in·tetzaujtl
inqujtetzammatia	in·qujtetzammatia
iniquac	in·iquac
inanoce	in·anoce
ilamachocaia	ilama·chocaia
intlejn¶	in·tlejn
mjtova¶ ia	mjtovaia
I nievecauh	In·ie·vecauh
inoc	in·oc
tlateo¶ toco	tlateotoco
injuh	in·juh
ce¶ qujntin	cequjntin
titixca¶ vitoque	titixcavitoque
to¶ tlalpan	totlalpan
tech¶ nelotoque	technelotoque
ve¶ ue tlaca	veuetlaca
inaia aque	in·aiaaque
inaiaque	in·aiaque
quj tetzamma¶ tia	qujtetzammatia
inquitetzaujttaia	in·quitetzaujttaia
innetetzaujloia	in·netetzaujloia
tlatetza¶ ujaia	tlatetzaujaia
iniquac	in·iquac
injuhquj	in·juhquj
te¶ quanj	tequanj
teh¶ cuiooa	tehcuiooa
ilama¶ pul	ilamapul
iniquac¶	in·iquac
iaomj¶ qujz	iaomjqujz
com monamjctiz	commonamjctiz
ic¶ noiotl	icnoiotl
motlanamjc¶ tiz	motlanamjctiz
quin mona¶ maqujliz	quinmonamaqujliz
qujn tlanamjctiz	qujntlanamjctiz
qujntlatlacul¶ namjctiz	qujntlatlaculnamjctiz
inj nextitlan	in·jnextitlan
Y njqc¶	Yn·jqc
quella¶ quaoa	quellaquaoa
intonalpouhquj	in·tonalpouhquj
injquac	in·jquac
Timotoli¶ nja	Timotolinja
injtlecujllan	in·jtlecujllan
injchan	in·jchan
tiquj tlanj	tiqujtlanj
mellaqua¶ oaloca	mellaquaoaloca
intimotezcaujco	in·timotezcaujco
intimamuxvico	in·timamuxvico
intlein	in·tlein
oticmo¶maceuj	oticmomaceuj
tla¶ caiectli	tlacaiectli
caiuh	ca·iuh
co¶ njtotiuj	conjtotiuj
tech cauh tiuj	techcauhtiuj
caujctli	ca·ujctli
ic noiotl	icnoiotl
quj temouja	qujtemouja
ieixqujch	ie·ixqujch
acotitlatlatzi ujti	aco·titlatlatziujti
mone¶ nequjz	monenequjz
maxicmotlatol¶ chieli	ma·xicmotlatolchieli
tonalama¶ pan	tonalamapan
cujtlapil¶ li	cujtlapilli
njmjtzihi¶ caviz	njmjtzihicaviz
inamotlacacemellecan	in·amo·tlacacemellecan
o¶ qujnec	oqujnec
mo¶ tlacaiocoia	motlacaiocoia
intequanj	in·tequanj
caiuh ca¶	ca·iuhca
tetza¶ vitl	tezavitl
nj çan	niçan
qujtetzam matia	qujtetzammatia
inj quac	in·jquac
Quj toaia	Qujtoaia
Co¶ iutl	Coiutl
mj¶ toa	mjtoa
Inaqujn	In·aqujn
intetzaujtl	in·tetzaujtl
inqujchioaia	in·qujchioaia
mo¶ tetzaujanj	motetzaujanj
vn¶ can	vncan
ix¶ pampa	ixpampa
amo¶ qualli	amo·qualli
injtoca	in·jtoca
tezca¶ tlipuca	tezcatlipuca
tezcatli¶ puca	tezcatlipuca
tinech¶ macaz	tinechmacaz
intezcatlipuca	in·tezcatlipuca
intlamoquetza	in·tlamoquetza
quj cuj¶ tiuetziz	qujcujtiuetziz
canjc	can·jc
ie¶ oa	ieoa
incholoa	in·choloa
amouel	amo·uel
con mauhcacaoa	conmauhcacaoa
quj toctia	qujtoctia
mo¶ mauhcatlaloa	momauhcatlaloa
tzonteco¶ matl	tzontecomatl
I nchiqujmoli	In·chiqujmoli
to totl	tototl
iuhqujn	iuhqujn
quauh chochopitli	quauhchochopitli
quj¶ tovaia	qujtovaia
inotioal¶ laque	in·otioallaque
iollo chicaoac	iollochicaoac
mauh¶ catlacatl	mauhcatlacatl
intlao quj mottiti	intla·oqujmottiti
quj¶ tonalcaoaltia	qujtonalcaoaltia
y¶ ciuhca	yciuhca
inaqujn	in·aqujn
qujmotti¶ tia	qujmottitia
mj iecpa¶	mjiecpa
icmocaquj	ic·mocaquj
ynjquac	yn·jquac
Inj quac¶	In·iquac
I quac¶	Iquac
I nj quac	In·iquac
inj quac¶	in·iquac
I nj¶ quac	In·iquac
inj¶ quac	in·iquac
intezca¶ tlipuca	in·tezcatlipuca
mi qui	miqui
iuh·quj¶	iuhquj
intetzauhqujmjchin	in·tetzauhqujmjchin
quj¶ tonalcaoaltia	qujtonalcaoaltia
quj¶ oalmuchieltia	qujoalmuchieltia
quj¶ maceoaltia	qujmaceoaltia
injiollo	in·jiollo
intecocoliliztli	in·tecocoliliztli
quj¶ mottilia	qujmottilia
quj¶ neltocaia	qujneltocaia
quj¶ namjquj	qujnamjquj
quj¶ nextiaia	qujnextiaia
quj¶ machitia	qujmachitia
quj¶ nanqujlia	qujnanqujlia
quj¶ melaquaoa	qujmelaquaoa
quj¶ caquja	qujcaquja
quj¶ caquj	qujcaquj
quj¶ tovaia	qujtovaia
I njn	Injn
inj¶ toca	in·itoca
ne¶ tetzaujloia	netetzaujloia
caqujz¶ tia	caqujztia
inouella llimjctimotecac	in·ouellallimjctimotecac
ina¶ ocac	in·aocac
I c	Ic
motetzauja¶ ia	motetzaujaia
chi¶ quatli	chiquatli
injtechpa	in·jtechpa
tza¶ tzitiqujca	tzatzitiqujca
tetza¶ ujttoia	tetzaujttoia
inchiquatli	in·chiquatli
ynjquac	yn·jquac
qujnel¶ tocaia	qujneltocaia
mj qujz	mjqujz
ieceme	ie·ceme
mj¶ qujzque	mjqujzque
cocoliz¶ cujzque	cocolizcujzque
inj¶ pan	in·jpan
aioc¶ mo	aiocmo
caticcaoazque	ca·ticcaoazque
ynoccequj	yn·occequj
tla¶ canex qujmjlli	tlacanexqujmjlli
tete¶ tzaujaia	tetetzaujaia
momj¶ mjlotiuh	momjmjlotiuh
tehten¶ tiuh	tehtentiuh
intlacan	intla·can
Tlenjc	Tlen·jc
tlanj qujt¶ ta	tla·niqujtta
qujtz timotlalia	qujtztimotlalia
cam¶ pa	campa
injqc¶	in·jqc
mo¶ teittitiaia	moteittitiaia
cujtla panton	cujtlapanton
inacolho¶ acan	in·acolhoacan
#
neaxixalo¶ ian	neaxixaloian
in¶ tlaie	intla·ie
incan icel¶	in·can·icel
inaco	in·aco
a¶ noco	anoco
iehmuch	ieh·much
mj¶ qujztetzaujtl	mjqujztetzaujtl
moca¶ caiaoa	mocacaiaoa
tla¶ quavac	tlaquavac
injmmac	in·jmmac
mocauhti¶ qujca	mocauhtiqujca
cacan	ca·can
iuh qujn	iuhqujn
injpalnemoanj	in·jpalnemoanj
machiotica	ma·chiotica
tonal ama¶ pan	tonalamapan
canel	ca·nel
oticmo¶ maceuj	oticmomaceuj
camopan	ca·mopan
motla¶ pal	motlapal
caoneltico	ca·oneltico
matitlaocux	ma·titlaocux
maximella¶ quaoa	ma·ximellaquaoa
inquenamj	in·quenamj
no yoan	no·yoan
Caizca	Ca·izca
